sample	Cluster
R49131	cluster8
R77659	cluster8
R76187	cluster8
R32614	cluster8
R68892	cluster8
R21449	cluster8
R21621	cluster8
R29851	cluster8
R44416	cluster8
R47431	cluster8
R88888	cluster8
R34497	cluster8
R79758	cluster8
R81429	cluster8
R97912	cluster8
R42844	cluster8
R26481	cluster8
R29674	cluster8
R71122	cluster8
R48391	cluster8
R67283	cluster8
R35854	cluster8
R13758	cluster8
R87796	cluster8
R24228	cluster8
R66467	cluster8
R14868	cluster8
R15438	cluster8
R52648	cluster8
R81656	cluster8
R43298	cluster8
R13541	cluster8
R64399	cluster8
R97427	cluster8
R66732	cluster8
R63936	cluster8
R25342	cluster8
R73351	cluster8
R71795	cluster8
R82868	cluster8
R66914	cluster8
R15689	cluster8
R76355	cluster8
R12831	cluster8
R93814	cluster8
R97496	cluster8
R93219	cluster8
R27166	cluster8
R53882	cluster8
R48268	cluster8
R51379	cluster8
R82311	cluster8
R48982	cluster8
R26592	cluster8
R49472	cluster8
R63913	cluster8
B21926	cluster8
R77945	cluster8
R54231	cluster8
R38754	cluster8
R35235	cluster8
R88999	cluster8
R21387	cluster8
R48384	cluster8
R93358	cluster8
R61771	cluster8
R58285	cluster8
R48325	cluster8
R14795	cluster8
R13224	cluster9
R87167	cluster9
B67283	cluster9
B83469	cluster9
B86771	cluster9
B33643	cluster9
B83481	cluster9
R95754	cluster9
B89943	cluster9
B66158	cluster9
B68212	cluster9
R96972	cluster9
R44888	cluster9
R18341	cluster9
R68722	cluster9
R75823	cluster9
R83356	cluster9
R11111	cluster9
R38324	cluster9
R23314	cluster9
R74745	cluster9
R62577	cluster9
R84298	cluster9
R94263	cluster9
R91136	cluster9
R18284	cluster9
R38362	cluster9
R12626	cluster9
R44517	cluster9
R49212	cluster9
R81934	cluster9
R83172	cluster9
R75447	cluster9
B92228	cluster9
R59157	cluster9
R84445	cluster9
R26547	cluster9
R19421	cluster9
R86955	cluster9
R63624	cluster9
B47587	cluster9
R74161	cluster9
R76811	cluster9
R38331	cluster9
R47651	cluster9
R67446	cluster9
R94823	cluster9
R21491	cluster9
B99269	cluster9
R99269	cluster9
R65182	cluster9
R28443	cluster9
R63856	cluster9
R19915	cluster9
R83673	cluster9
R62792	cluster9
R34951	cluster9
R27171	cluster9
R16131	cluster9
R79151	cluster9
R55732	cluster9
R39818	cluster9
R23399	cluster9
R54978	cluster9
R52154	cluster9
R41551	cluster9
R18728	cluster9
B57382	cluster9
B77111	cluster9
B15446	cluster9
B74234	cluster9
R46588	cluster9
R31184	cluster9
R61256	cluster9
B44888	cluster9
R54881	cluster9
